column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
puppy eats food. food costs money.	problem. i'll food plate.	puppy eats food. food costs money.	problem. i'll food plate.	puppy eats food. food costs money.	problem. i'll food plate.
problem. i'll food plate.	oh, don't. puppies don't eat vegetables.	problem. i'll food plate.	oh, don't. puppies don't eat vegetables.	problem. i'll food plate.	oh, don't. puppies don't eat vegetables.
look kittens!	there?	look kittens!	there?	look kittens!	there?
there?	eight.	there?	eight.	there?	eight.
eight.	they're cute.	eight.	they're cute.	eight.	they're cute.
they're cute.	yes, can't them.	they're cute.	yes, can't them.	they're cute.	yes, can't them.
yes, can't them.	going them?	yes, can't them.	going them?	yes, can't them.	going them?
going them?	i'm going away. want one?	going them?	i'm going away. want one?	going them?	i'm going away. want one?
i'm going away. want one?	yes, love one.	i'm going away. want one?	yes, love one.	i'm going away. want one?	yes, love one.
yes, love one.	want?	yes, love one.	want?	yes, love one.	want?
want?	one. that's black.	want?	one. that's black.	want?	one. that's black.
one. that's black.	yes, like one, too.	one. that's black.	yes, like one, too.	one. that's black.	yes, like one, too.
yes, like one, too.	i'll blacky.	yes, like one, too.	i'll blacky.	yes, like one, too.	i'll blacky.
parents church sunday.	trust god.	parents church sunday.	trust god.	parents church sunday.	trust god.
trust god.	hope heaven.	trust god.	hope heaven.	trust god.	hope heaven.
hope heaven.	probably will.	hope heaven.	probably will.	hope heaven.	probably will.
probably will.	knows sure.	probably will.	knows sure.	probably will.	knows sure.
knows sure.	that's sure.	knows sure.	that's sure.	knows sure.	that's sure.
that's sure.	knows happens die.	that's sure.	knows happens die.	that's sure.	knows happens die.
knows happens die.	good, happy heaven god.	knows happens die.	good, happy heaven god.	knows happens die.	good, happy heaven god.
good, happy heaven god.	that's people believe.	good, happy heaven god.	that's people believe.	good, happy heaven god.	that's people believe.
that's people believe.	bad, unhappy forever hell.	that's people believe.	bad, unhappy forever hell.	that's people believe.	bad, unhappy forever hell.
bad, unhappy forever hell.	don't want hell.	bad, unhappy forever hell.	don't want hell.	bad, unhappy forever hell.	don't want hell.
don't want hell.	let's church parents sunday.	don't want hell.	let's church parents sunday.	don't want hell.	let's church parents sunday.
husband died.	i'm sorry you.	husband died.	i'm sorry you.	husband died.	i'm sorry you.
i'm sorry you.	thank you.	i'm sorry you.	thank you.	i'm sorry you.	thank you.
thank you.	die?	thank you.	die?	thank you.	die?
die?	couple months ago.	die?	couple months ago.	die?	couple months ago.
couple months ago.	miss him.	couple months ago.	miss him.	couple months ago.	miss him.
miss him.	yes, talk day.	miss him.	yes, talk day.	miss him.	yes, talk day.
yes, talk day.	church?	yes, talk day.	church?	yes, talk day.	church?
church?	no, cell phone.	church?	no, cell phone.	church?	no, cell phone.
no, cell phone.	mean?	no, cell phone.	mean?	no, cell phone.	mean?
mean?	buried cell phone.	mean?	buried cell phone.	mean?	buried cell phone.
buried cell phone.	battery dies?	buried cell phone.	battery dies?	buried cell phone.	battery dies?
today friday thirteenth.	that's bad day.	today friday thirteenth.	that's bad day.	today friday thirteenth.	that's bad day.
that's bad day.	it's supposed unlucky.	that's bad day.	it's supposed unlucky.	that's bad day.	it's supposed unlucky.
it's supposed unlucky.	you're supposed stay home day.	it's supposed unlucky.	you're supposed stay home day.	it's supposed unlucky.	you're supposed stay home day.
you're supposed stay home day.	that's do.	you're supposed stay home day.	that's do.	you're supposed stay home day.	that's do.
that's do.	friend stayed hotel friday thirteenth.	that's do.	friend stayed hotel friday thirteenth.	that's do.	friend stayed hotel friday thirteenth.
friend stayed hotel friday thirteenth.	mistake.	friend stayed hotel friday thirteenth.	mistake.	friend stayed hotel friday thirteenth.	mistake.
mistake.	stayed thirteenth floor.	mistake.	stayed thirteenth floor.	mistake.	stayed thirteenth floor.
stayed thirteenth floor.	happened?	stayed thirteenth floor.	happened?	stayed thirteenth floor.	happened?
happened?	stole laptop.	happened?	stole laptop.	happened?	stole laptop.
stole laptop.	asking it.	stole laptop.	asking it.	stole laptop.	asking it.
asking it.	learned lesson. he's home today.	asking it.	learned lesson. he's home today.	asking it.	learned lesson. he's home today.
love me?	course.	love me?	course.	love me?	course.
course.	prove it.	course.	prove it.	course.	prove it.
prove it.	prove it?	prove it.	prove it?	prove it.	prove it?
prove it?	dinner.	prove it?	dinner.	prove it?	dinner.
dinner.	that's it? that's do?	dinner.	that's it? that's do?	dinner.	that's it? that's do?
that's it? that's do?	nice restaurant, mcdonald's.	that's it? that's do?	nice restaurant, mcdonald's.	that's it? that's do?	nice restaurant, mcdonald's.
nice restaurant, mcdonald's.	nice restaurant costs money.	nice restaurant, mcdonald's.	nice restaurant costs money.	nice restaurant, mcdonald's.	nice restaurant costs money.
nice restaurant costs money.	yes, reservation.	nice restaurant costs money.	yes, reservation.	nice restaurant costs money.	yes, reservation.
yes, reservation.	that's hassle.	yes, reservation.	that's hassle.	yes, reservation.	that's hassle.
that's hassle.	knew didn't love me.	that's hassle.	knew didn't love me.	that's hassle.	knew didn't love me.
knew didn't love me.	okay, okay! i'll reservation right now.	knew didn't love me.	okay, okay! i'll reservation right now.	knew didn't love me.	okay, okay! i'll reservation right now.
parents divorced.	mine.	parents divorced.	mine.	parents divorced.	mine.
mine.	parents divorced?	mine.	parents divorced?	mine.	parents divorced?
parents divorced?	father found new girlfriend.	parents divorced?	father found new girlfriend.	parents divorced?	father found new girlfriend.
father found new girlfriend.	that's bad.	father found new girlfriend.	that's bad.	father found new girlfriend.	that's bad.
that's bad.	mother hurt angry.	that's bad.	mother hurt angry.	that's bad.	mother hurt angry.
mother hurt angry.	good reason. do?	mother hurt angry.	good reason. do?	mother hurt angry.	good reason. do?
good reason. do?	told drop girlfriend.	good reason. do?	told drop girlfriend.	good reason. do?	told drop girlfriend.
told drop girlfriend.	father do?	told drop girlfriend.	father do?	told drop girlfriend.	father do?
father do?	moved house.	father do?	moved house.	father do?	moved house.
moved house.	guess liked new girlfriend.	moved house.	guess liked new girlfriend.	moved house.	guess liked new girlfriend.
guess liked new girlfriend.	yes, left year later.	guess liked new girlfriend.	yes, left year later.	guess liked new girlfriend.	yes, left year later.
grandma's apartment smells funny.	mine.	grandma's apartment smells funny.	mine.	grandma's apartment smells funny.	mine.
mine.	think it's old people's smell.	mine.	think it's old people's smell.	mine.	think it's old people's smell.
think it's old people's smell.	really?	think it's old people's smell.	really?	think it's old people's smell.	really?
really?	yes. think old, begin smell.	really?	yes. think old, begin smell.	really?	yes. think old, begin smell.
yes. think old, begin smell.	like fruit ripe?	yes. think old, begin smell.	like fruit ripe?	yes. think old, begin smell.	like fruit ripe?
like fruit ripe?	yes, like fruit ripe.	like fruit ripe?	yes, like fruit ripe.	like fruit ripe?	yes, like fruit ripe.
yes, like fruit ripe.	smell different.	yes, like fruit ripe.	smell different.	yes, like fruit ripe.	smell different.
smell different.	yes, old people don't smell like fruit.	smell different.	yes, old people don't smell like fruit.	smell different.	yes, old people don't smell like fruit.
yes, old people don't smell like fruit.	no, smell like thrift shop.	yes, old people don't smell like fruit.	no, smell like thrift shop.	yes, old people don't smell like fruit.	no, smell like thrift shop.
no, smell like thrift shop.	yes, thrift shop smell.	no, smell like thrift shop.	yes, thrift shop smell.	no, smell like thrift shop.	yes, thrift shop smell.
yes, thrift shop smell.	yes, old smell.	yes, thrift shop smell.	yes, old smell.	yes, thrift shop smell.	yes, old smell.
price stamps goes up.	think stamps cost penny.	price stamps goes up.	think stamps cost penny.	price stamps goes up.	think stamps cost penny.
think stamps cost penny.	long time ago.	think stamps cost penny.	long time ago.	think stamps cost penny.	long time ago.
long time ago.	born.	long time ago.	born.	long time ago.	born.
born.	stamp 42 cents.	born.	stamp 42 cents.	born.	stamp 42 cents.
stamp 42 cents.	44 cents.	stamp 42 cents.	44 cents.	stamp 42 cents.	44 cents.
44 cents.	lost letter mail?	44 cents.	lost letter mail?	44 cents.	lost letter mail?
lost letter mail?	no, haven't.	lost letter mail?	no, haven't.	lost letter mail?	no, haven't.
no, haven't.	i.	no, haven't.	i.	no, haven't.	i.
i.	so, good job money.	i.	so, good job money.	i.	so, good job money.
so, good job money.	yes, do.	so, good job money.	yes, do.	so, good job money.	yes, do.
yes, do.	maybe shouldn't complain.	yes, do.	maybe shouldn't complain.	yes, do.	maybe shouldn't complain.
button came shirt.	going do?	button came shirt.	going do?	button came shirt.	going do?
going do?	first, find button.	going do?	first, find button.	going do?	first, find button.
first, find button.	lose it?	first, find button.	lose it?	first, find button.	lose it?
lose it?	idea.	lose it?	idea.	lose it?	idea.
idea.	button hard find. look pant cuffs?	idea.	button hard find. look pant cuffs?	idea.	button hard find. look pant cuffs?
button hard find. look pant cuffs?	that's good idea.	button hard find. look pant cuffs?	that's good idea.	button hard find. look pant cuffs?	that's good idea.
that's good idea.	found button pant cuffs time.	that's good idea.	found button pant cuffs time.	that's good idea.	found button pant cuffs time.
found button pant cuffs time.	let look. no, it's there.	found button pant cuffs time.	let look. no, it's there.	found button pant cuffs time.	let look. no, it's there.
let look. no, it's there.	shirts come extra button.	let look. no, it's there.	shirts come extra button.	let look. no, it's there.	shirts come extra button.
shirts come extra button.	you're right. extra button.	shirts come extra button.	you're right. extra button.	shirts come extra button.	you're right. extra button.
you're right. extra button.	sew on.	you're right. extra button.	sew on.	you're right. extra button.	sew on.
bathroom.	drink coffee.	bathroom.	drink coffee.	bathroom.	drink coffee.
drink coffee.	love coffee.	drink coffee.	love coffee.	drink coffee.	love coffee.
love coffee.	well, it's life.	love coffee.	well, it's life.	love coffee.	well, it's life.
well, it's life.	eat chocolate.	well, it's life.	eat chocolate.	well, it's life.	eat chocolate.
eat chocolate.	don't think so.	eat chocolate.	don't think so.	eat chocolate.	don't think so.
don't think so.	looked mirror?	don't think so.	looked mirror?	don't think so.	looked mirror?
looked mirror?	think i'm getting fat?	looked mirror?	think i'm getting fat?	looked mirror?	think i'm getting fat?
think i'm getting fat?	didn't that.	think i'm getting fat?	didn't that.	think i'm getting fat?	didn't that.
didn't that.	say?	didn't that.	say?	didn't that.	say?
say?	said bathroom.	say?	said bathroom.	say?	said bathroom.
said bathroom.	that's thought said.	said bathroom.	that's thought said.	said bathroom.	that's thought said.
laundry?	yes, did.	laundry?	yes, did.	laundry?	yes, did.
yes, did.	wash?	yes, did.	wash?	yes, did.	wash?
wash?	washed sheets towels.	wash?	washed sheets towels.	wash?	washed sheets towels.
washed sheets towels.	pillowcases?	washed sheets towels.	pillowcases?	washed sheets towels.	pillowcases?
pillowcases?	yes, took pillows washed them.	pillowcases?	yes, took pillows washed them.	pillowcases?	yes, took pillows washed them.
yes, took pillows washed them.	dry dryer?	yes, took pillows washed them.	dry dryer?	yes, took pillows washed them.	dry dryer?
dry dryer?	yes, dried dryer.	dry dryer?	yes, dried dryer.	dry dryer?	yes, dried dryer.
yes, dried dryer.	do?	yes, dried dryer.	do?	yes, dried dryer.	do?
do?	folded towels.	do?	folded towels.	do?	folded towels.
folded towels.	sheets beds?	folded towels.	sheets beds?	folded towels.	sheets beds?
sheets beds?	yes, pillowcases pillows.	sheets beds?	yes, pillowcases pillows.	sheets beds?	yes, pillowcases pillows.
listen radio?	listen day night.	listen radio?	listen day night.	listen radio?	listen day night.
listen day night.	listen to?	listen day night.	listen to?	listen day night.	listen to?
listen to?	talk radio.	listen to?	talk radio.	listen to?	talk radio.
talk radio.	what's that?	talk radio.	what's that?	talk radio.	what's that?
what's that?	people talk current events.	what's that?	people talk current events.	what's that?	people talk current events.
